Kata Tidak Baku,Kata Baku
heboh,ramai
hebohhh,ramai
pecahrame,sangat ramai
membludak,sangat banyak
membludakk,sangat banyak
fullteam,tim lengkap
fullhouse,penuh
fullbooked,penuh
soldouttotal,habis terjual
allin,sepenuhnya
gaspolll,sepenuhnya
maksimal,maksimal
maximal,maksimal
allout,sepenuh tenaga
push,dorong
pushterus,terus mendorong
semaksimalmungkin,sebaik mungkin
allthebest,semoga yang terbaik
bestwishes,doa terbaik
wishyouallthebest,semoga yang terbaik untukmu
goodjob,kerja bagus
greatjob,kerja bagus
nicejob,kerja bagus
wellplayed,bermain dengan baik
well done,dikerjakan dengan baik
kerenkali,sangat keren
mantapsekali,sangat mantap
luarbiasasekali,sangat luar biasa
jospol,sangat bagus
topcer,sangat bagus
topmarkotob,sangat bagus
mantapbetul,sangat mantap
mantuls,mantap
sipjiwa,baik
makjleb,sangat menyentuh
nusuk,menyentuh
nusukbanget,sangat menyentuh
deepbanget,sangat mendalam
relatebanget,sangat berhubungan
kenabanget,sangat sesuai
kena,sesuai
pasbanget,sangat sesuai
spoton,tepat
onpoint,tepat
akurat,tepat
presisi,tepat
sreg,cocok
cocokbanget,sangat cocok
klop,cocok
matching,cocok
chemistry,kecocokan
klik,cocok
nyambung,sesuai
sehati,satu hati
sefrekuensi,sepemikiran
vibes,suasana
goodvibes,suasana positif
badvibes,suasana negatif
positivevibes,suasana positif
vibesnyaenak,suasana nyaman
auranya,aura
aurabagus,aura positif
energinya,energi
positiveenergy,energi positif
negativeenergy,energi negatif
healingtipis,sedikit menenangkan diri
healingdulu,menenangkan diri dahulu
selfreward,menghargai diri
selflove,mencintai diri sendiri
selfcare,merawat diri
me time,waktu untuk diri sendiri
qualitytime,waktu berkualitas
worklifebalance,keseimbangan hidup dan kerja
produktif,produktif
produktiff,produktif
productive,produktif
reborn,terlahir kembali
glowup,perubahan menjadi lebih baik
glowing,bersinar
glowingbanget,sangat bersinar
upgrade diri,meningkatkan diri
improve,meningkatkan
improvement,peningkatan
levelup,naik tingkat
naikkelas,meningkat
nextlevel,tingkat berikutnya
goal,tujuan
goals,tujuan
goalsbanget,sangat ideal
targetku,target saya
milestone,tonggak pencapaian
achievement,pencapaian
achieve,mencapai
accomplish,menyelesaikan
success,sukses
successful,berhasil
suksess,sukses
berhasilbanget,sangat berhasil
failure,kegagalan
gagalmoveon,belum melupakan masa lalu
tryagain,coba lagi
nevergiveup,jangan menyerah
keepgoing,terus melangkah
semangatterus,tetap semangat
pantangmenyerah,tidak mudah menyerah
gwsbro,lekas sembuh
gwsbestie,lekas sembuh
otwkerja,sedang menuju tempat kerja
otwkampus,sedang menuju kampus
otwkantor,sedang menuju kantor
otwrumah,sedang menuju rumah
otwsekolah,sedang menuju sekolah
otwmasjid,sedang menuju masjid
otwgereja,sedang menuju gereja
otwmeeting,sedang menuju rapat
otwzoom,sedang menuju pertemuan daring
otwkuliah,sedang menuju kuliah
otwkelas,sedang menuju kelas
otwseminar,sedang menuju seminar
otwevent,sedang menuju acara
otwnongki,sedang menuju tempat berkumpul
otwngopi,sedang menuju tempat minum kopi
otwhealing,sedang menuju tempat berlibur
otwliburan,sedang menuju liburan
otwgaskeun,sedang dalam perjalanan
mampirbro,singgah
mampirdulu,singgah dahulu
melipir,menepi
minggir,menepi
ngider,berkeliling
muter2,berkeliling
keluyuran,berjalan-jalan
blusukan,berkunjung
ngabuburit,menunggu waktu berbuka
bukber,buka bersama
sahur,makan sebelum subuh
sahurr,sahur
tarawih,salat tarawih
taraweh,salat tarawih
bukpuasa,buka puasa
puasaaa,puasa
ramadhan,Ramadan
ramadan,Ramadan
lebaran,Idulfitri
ied,Idulfitri
minalaidin,mohon maaf lahir batin
halalbihalal,silaturahmi Idulfitri
mudik,pulang kampung
balikmudik,kembali dari kampung
openhouse,acara terbuka
silaturahmi,bersilaturahmi
halalbi,halalbihalal
takbiran,mengumandangkan takbir
qurban,kurban
kurban,kurban
iduladha,Iduladha
haji,ibadah haji
umroh,umrah
umrah,umrah
berkahhh,berkah
rezeki,rezeki
rezekii,rezeki
rezekianaksoleh,rezeki
cuansyariah,keuntungan
magerpol,sangat malas bergerak
magerakut,malas bergerak
magermax,sangat malas
rebahanmulu,terus berbaring
rebahandulu,berbaring dahulu
kaumrebahan,orang yang suka rebahan
kaummager,orang yang malas bergerak
kaumgabut,orang yang tidak ada kegiatan
gabutabis,sangat tidak ada kegiatan
gabutparah,sangat tidak ada kegiatan
nongkiyuk,ayo berkumpul
nongkrongyuk,ayo berkumpul
ngabs,abang
ngabers,abang
sobatmiskin,orang kurang mampu
sobatkaya,orang kaya
sobatambyar,orang yang sedang sedih
sobathealing,orang yang sedang berlibur
sobatkampus,teman kampus
sobatonline,teman daring
sobatviral,orang yang viral
sobatreceh,orang yang lucu
sobatdrama,orang yang suka drama
sobatbucin,orang yang sedang jatuh cinta
bestieku,sahabat saya
bestieonline,sahabat daring
bestiecantik,sahabat cantik
bestieganteng,sahabat tampan
bestieselalu,sahabat selamanya
temansetia,teman yang setia
temansejati,teman sejati
sahabatsejati,sahabat sejati
squadgoals,kelompok ideal
circlesehat,lingkaran pertemanan yang baik
circletoxic,lingkaran pertemanan buruk
innerpeace,kedamaian batin
hepihepi,bahagia
senengpol,sangat senang
happyending,akhir yang bahagia
badmood,suasana hati buruk
moodbooster,peningkat suasana hati
moodbanget,sesuai suasana hati
goodmood,suasana hati baik
moody,mudah berubah suasana hati
badday,hari yang buruk
goodday,hari yang baik
mondayblues,sedih di hari Senin
weekend,akhir pekan
weekendvibes,suasana akhir pekan
weekday,hari kerja
liburnasional,hari libur nasional
cutibersama,hari cuti bersama
cutiii,cuti
izin,permohonan izin
izindulu,meminta izin terlebih dahulu
permisi,minta izin
numpanglewat,permisi
puntenn,permisi
monggomasuk,silakan masuk
silahkanduduk,silakan duduk
silahkanmasuk,silakan masuk
monggoatuh,silakan
monggosantai,silakan bersantai
maklumya,harap dimaklumi
harapmaklum,harap dimaklumi
mohonmaaf,meminta maaf
maaflahirbatin,mohon maaf lahir dan batin
ampunbang,ampun
ampunsepuh,ampun
sungkeman,menghormati orang tua
sowan,berkunjung
nyamperin,mengunjungi
mainkerumah,berkunjung ke rumah
bertamu,mengunjungi
nginep,menginap
nginepp,menginap
ngineplama,menginap lama
kosan,tempat indekos
anakrantau,perantau
perantauan,tempat merantau
rantaupeople,perantau
rantauvibes,suasana merantau
homesicklagi,sedang rindu rumah
anakkost,anak indekos
anakkos,anak indekos
ngekos,tinggal di indekos
kostan,tempat indekos
kost,tempat indekos
kontrakan,rumah sewa
rumahpetak,rumah kecil
rumahidaman,rumah impian
rumahku,rumah saya
kamarku,kamar saya
kamarkost,kamar indekos
kamarberantakan,kamar tidak rapi
springcleaning,bersih-bersih menyeluruh
bersihbersih,membersihkan
beresberes,merapikan
rapiinn,merapikan
nyapu,menyapu
ngepel,mengepel
nyucii,mencuci
nyetrika,menyetrika
masakdulu,memasak dahulu
masaksendiri,memasak sendiri
anakrumahan,orang yang suka di rumah
homiebody,orang rumahan
homieperson,orang yang nyaman di rumah
healingkerumah,beristirahat di rumah
masakanrumah,makanan rumahan
makanbareng,makan bersama
makansiang,makan siang
makansore,makan sore
makantengahmalam,makan tengah malam
midnightsnack,camilan tengah malam
cemilcemil,makan camilan
jajanjajan,membeli makanan ringan
kulineran,wisata kuliner
jastip,jasa titip
jastipan,jasa titip
titipdong,tolong titipkan
nitipoleholeh,meminta oleh-oleh
oleholeh,buah tangan
oleholehnya,buah tangan
traveldiary,catatan perjalanan
backpacker,wisatawan hemat
tripbareng,perjalanan bersama
roadtrip,perjalanan darat
camping,berkemah
glamping,berkemah mewah
sunmori,berkendara pagi hari
nightride,berkendara malam
touring,perjalanan kendaraan
motoran,berkendara motor
gowes,bersepeda
sepedahan,bersepeda
jogging,lari santai
workout,berolahraga
gym,pusat kebugaran
ngegym,berolahraga di pusat kebugaran
pushup,latihan tekan
situp,latihan perut
cardio,latihan jantung
bulking,menambah massa tubuh
cutting,mengurangi lemak tubuh
diet,pola makan
dietketat,pola makan ketat
cheatmeal,makanan di luar diet
mealprep,persiapan makanan
clean eating,pola makan sehat
intermittentfasting,puasa berselang
ifdiet,puasa berselang
stepchallenge,tantangan langkah
10ksteps,sepuluh ribu langkah
marathoner,pelari maraton
runnerlife,gaya hidup pelari
lari pagi,berlari di pagi hari
larisore,berlari di sore hari
healty,sehat
healtylife,gaya hidup sehat
healthylifestyle,gaya hidup sehat
wellness,kesejahteraan
skincareroutine,rutinitas perawatan kulit
skincarean,menggunakan perawatan kulit
glowupbanget,berkembang pesat
glowinggg,bercahaya
glowingskin,kulit bercahaya
acnefighter,pejuang jerawat
jerawatan,berjerawat
jerawatmembandel,jerawat yang sulit hilang
sunscreen,tabir surya
moisturizer,pelembap
cleanser,pembersih wajah
serumwajah,serum wajah
toner,penyegar wajah
retinol,retinol
niacinamide,niacinamide
salicylicacid,asam salisilat
cicacream,krim cica
sheetmask,masker lembar
facialwash,pembersih wajah
maskeran,menggunakan masker wajah
hairtreatment,perawatan rambut
hairgoals,rambut impian
badhairday,hari dengan rambut yang sulit diatur
barberlife,gaya hidup pencinta barbershop
barbershop,tempat potong rambut
potongrambutdulu,memotong rambut terlebih dahulu
spa day,hari perawatan tubuh
foodvlog,video blog makanan
foodreview,ulasan makanan
foodhunting,berburu makanan
kulinerhits,kuliner populer
kulineranlagi,wisata kuliner
jajankuy,ayo jajan
jajandulu,jajan dahulu
jajanterus,sering jajan
laperrr,lapar
laperrrr,lapar
laparbanget,sangat lapar
kenyangpoll,sangat kenyang
kenyangbanget,sangat kenyang
makanenakk,makanan enak
enakpoll,sangat enak
enakbangett,sangat enak
yummyyy,lezat
pedesgila,sangat pedas
pedespoll,sangat pedas
micinlover,pecinta makanan gurih
anakseblak,pecinta seblak
seblakpride,pecinta seblak
baksolover,pecinta bakso
mieayamlover,pecinta mi ayam
miegacoan,Mi Gacoan
mixuee,Mixue
eskrimviral,es krim populer
kopitubruk,kopi tubruk
kopikekinian,kopi modern
nongkicafee,berkumpul di kafe
caféhopping,berkunjung ke beberapa kafe
brunch,sarapan dan makan siang
lunchdate,makan siang bersama
dinnerdate,makan malam bersama
allucaneat,makan sepuasnya
ayce,makan sepuasnya
burnmoney,menghabiskan uang
jajanteros,sering jajan
anakhealingkuliner,pecinta wisata kuliner
kulinernight,wisata kuliner malam
warteg,warung tegal
warmindo,warung makan Indomie
angkringan,warung angkringan
naspad,nasi padang
nasgor,nasi goreng
indomiee,Indomie
motovlog,video blog otomotif
anakmotorbanget,pecinta motor
anakmobil,pecinta mobil
modifmotor,modifikasi motor
modifmobil,modifikasi mobil
touringbareng,berkendara bersama
sunmorr,berkendara pagi
nightridee,berkendara malam
gaspolmotor,berkendara cepat
moge,motor gede
mogee,motor gede
cckecil,kapasitas mesin kecil
ccgede,kapasitas mesin besar
anakvespa,pecinta Vespa
vespalover,pecinta Vespa
anaksenja,pecinta senja
otwspbu,menuju SPBU
isi bensin,mengisi bahan bakar
bbmnaik,harga bahan bakar naik
pertamax,Pertamax
pertalite,Pertalite
solar,bahan bakar solar
servismotor,servis motor
gantioil,mengganti oli
banbocor,ban bocor
mogok,kendaraan tidak dapat berjalan
macetparah,kemacetan parah
kenatilang,mendapat tilang
simsim,surat izin mengemudi
stnk,surat tanda nomor kendaraan
ayahbunda,orang tua
mamakece,ibu
papah,ayah
papii,ayah
mamii,ibu
anakpertama,anak sulung
anakbungsu,anak terakhir
middlechild,anak tengah
secondchild,anak kedua
parenting,pengasuhan
newmom,ibu baru
newdad,ayah baru
busuicheck,ibu menyusui
bumil,ibu hamil
busui,ibu menyusui
mpasi,makanan pendamping ASI
dede bayi,bayi
bayigemoy,bayi yang menggemaskan
anakkecilku,anak saya
momlife,kehidupan ibu
dadlife,kehidupan ayah
familytime,waktu bersama keluarga
familygoals,keluarga ideal
rumahtangga,kehidupan rumah tangga
parentingtips,tips pengasuhan
gentleparenting,pengasuhan lembut
tantrum,ledakan emosi anak
financialcheckup,pemeriksaan keuangan
nabungemas,menabung emas
danadarurat,dana darurat
financialplanner,perencana keuangan
cuanterusss,selalu untung
bokekk,tidak punya uang
bokekparah,sangat tidak punya uang
tanggaltua,akhir bulan
akhirbulan,akhir bulan
gajimasuk,gaji diterima
gajiannih,hari gajian
saldomenipis,saldo hampir habis
sultanmendadak,tiba-tiba kaya
miskinajalah,merasa miskin
hematpangkal,hemat itu penting
frugalliving,hidup hemat
financialindependence,kemandirian finansial
contentday,hari membuat konten
ngonten,membuat konten
ngontenterus,sering membuat konten
kontenkreator,pembuat konten
influencerr,influencer
tiktoker,kreator TikTok
youtuberr,YouTuber
podcastan,membuat siniar
podcasttime,waktu siniar
studiosetup,pengaturan studio
ringlight,lampu cincin
micwireless,mikrofon nirkabel
kamerasetup,pengaturan kamera
kontenviral,konten populer
viralbangett,sangat viral
meledakviews,tayangan meningkat pesat
jutaanviews,jutaan tayangan
kontenfyp,konten yang masuk rekomendasi
fypteruss,sering masuk rekomendasi
branddeal,kerja sama merek
paidpromote,promosi berbayar
paidpartnership,kemitraan berbayar
collabb,kolaborasi
kolabdong,ajak kolaborasi
endorsean,promosi berbayar
ugccreator,pembuat konten pengguna
ugcvideo,video konten pengguna
socialmediaagency,agensi media sosial
viralhook,pembuka viral
hookbanget,pembuka menarik
captionmenarik,keterangan menarik
captionviral,keterangan viral
scriptkonten,naskah konten
kontenedukasi,konten pendidikan
kontenhiburan,konten hiburan
konteninspiratif,konten inspiratif
kontenrelate,konten yang relevan
relatebangettt,sangat relevan
relatepol,sangat relevan
deeprelate,sangat sesuai pengalaman
moodbangett,sesuai suasana hati
vibesbangett,memiliki suasana yang kuat
vibesnyadapet,suasananya terasa
aestheticvibes,suasana estetis
cozyvibes,suasana nyaman
chillvibes,suasana santai
weekendvibess,suasana akhir pekan
fridaymood,suasana hari Jumat
mondaymood,suasana hari Senin
sundayreset,persiapan untuk minggu baru
resetday,hari untuk mengatur ulang
productiveweek,minggu yang produktif
dailyroutine,rutinitas harian
morningroutine,rutinitas pagi
nightroutine,rutinitas malam
lifeupdate,pembaruan kehidupan
weeklydump,unggahan mingguan
photodumpday,hari unggahan foto acak
memoriesdump,unggahan kenangan
oldbutgold,lama tetapi berharga
throwbackkk,kilas balik
nostalgic,penuh nostalgia
goodoldtimes,masa lalu yang indah
chapterbaru,babak baru
newbeginning,awal yang baru
freshchapter,babak yang baru
roadtosuccess,jalan menuju kesuksesan
onestepatatime,selangkah demi selangkah
afaikbro,sepanjang yang saya ketahui
ngl,jujur saja
fomo banget,takut ketinggalan
yolo,hidup hanya sekali
tl;dr,ringkasan singkat
oopss,ups
oopsie,ups
lilbro,adik
bigbro,kakak laki-laki
bigsis,kakak perempuan
famz,keluarga/teman dekat
bestiepie,sahabat
homiegang,kelompok teman
ganggang,kelompok
bestiebear,sahabat
bestiecakep,sahabat
latecheckout,keluar hotel lebih lambat
earlycheckin,masuk hotel lebih awal
staycayy,berlibur di dekat rumah
healingtrip,perjalanan untuk relaksasi
healingmode,mode beristirahat
workcation,bekerja sambil berlibur
wanderlust,hasrat untuk bepergian
solo traveling,bepergian sendiri
solotrip,perjalanan sendiri
liburanmurah,liburan hemat
budgettrip,perjalanan hemat
traveldiaries,catatan perjalanan
travelgram,konten perjalanan
passportready,paspor siap digunakan
checkinbandara,lapor keberangkatan di bandara
boardingtime,waktu naik pesawat
delayflight,penerbangan tertunda
red-eye flight,penerbangan malam
magerbangun,malas bangun
tidurduluaja,tidur dahulu
begadangterus,sering begadang
insomniagang,mengalami sulit tidur
sleepdeprived,kurang tidur
powernap,tidur singkat
naptime,waktu tidur siang
rebahanmode,mode beristirahat
santuyyy,santai
santai aja bro,tetap santai
pelanpelanaja,perlahan saja
takeiteasy,tenang saja
slowliving,hidup dengan tenang
2026goals,target tahun 2026
smallwins,pencapaian kecil
winnersmindset,pola pikir pemenang
abundance,kelimpahan
abundancemindset,pola pikir kelimpahan
positivethinking,berpikir positif
multipleincome,berbagai sumber pendapatan
richmindset,pola pikir kaya
millionairemindset,pola pikir jutawan
hustlemode,mode bekerja keras
grindneverstops,kerja keras tidak berhenti
ceointraining,calon pemimpin perusahaan
futureceo,calon CEO
startuplife,kehidupan startup
buildinpublic,membangun secara terbuka
solobuilder,pembangun mandiri
indiehacker,pengembang independen
nocode,tanpa pemrograman
lowcode,pemrograman minimal
hackathon,kompetisi inovasi
startupweekend,acara startup
demoday,hari presentasi
pitchnight,malam presentasi bisnis
investorready,siap bertemu investor
fundraisingmode,sedang mencari pendanaan
bootstrapped,dibiayai sendiri
scaleup,meningkatkan skala usaha
hypergrowth,pertumbuhan sangat cepat
leanstartup,startup ramping
pmf,kesesuaian produk dan pasar
growthhacking,strategi pertumbuhan
retentionrate,tingkat retensi
kostlife,kehidupan anak kos
rantaulife,kehidupan perantau
uangbulanan,uang saku bulanan
mieakhirbulan,mi instan saat akhir bulan
survivalmode,mode bertahan hidup
tanggaltua vibes,suasana akhir bulan
dompetkosong,tidak memiliki uang
wartegsurvival,bertahan hidup dengan warteg
hematmode,mode hemat
iritmax,sangat hemat
anakbeasiswa,penerima beasiswa
scholarshiphunter,pemburu beasiswa
lolosbeasiswa,diterima beasiswa
interviewbeasiswa,wawancara beasiswa
essaybeasiswa,esai beasiswa
motivationletter,surat motivasi
loakademik,surat rekomendasi akademik
kampusimpian,kampus impian
kuliahdiluarnegeri,kuliah di luar negeri
exchangeprogram,program pertukaran pelajar
studentexchange,pertukaran pelajar
erasmus,program Erasmus
lpdp,LPDP
chevening,Beasiswa Chevening
fulbright,Beasiswa Fulbright
daad,Beasiswa DAAD
studygram,konten belajar
studywithme,belajar bersama
pomodorotime,waktu teknik pomodoro
produktifhariini,produktif hari ini
productiveaf,sangat produktif
deepfocus,fokus mendalam
focusmodeon,mode fokus aktif
studyplaylist,daftar putar belajar
lofi,musik santai
lofibeats,musik lo-fi
studyvibes,suasana belajar
perpuslife,kehidupan di perpustakaan
nugasbareng,mengerjakan tugas bersama
deadlinebesok,tenggat besok
sistemkebutsemalam,mengerjakan semalam
begadangnugas,begadang mengerjakan tugas
pejuangdeadline,pejuang tenggat waktu
selfimprovement,pengembangan diri
becomebetter,menjadi lebih baik
1percentbetter,lebih baik satu persen
atomic habits,kebiasaan kecil yang baik
disciplineequalsfreedom,disiplin membawa kebebasan
consistencyiskey,konsistensi adalah kunci
stayfoolish,tetap rendah hati
trusttheprocess,percayai proses
enjoythejourney,nikmati perjalanan
dopaminehit,lonjakan dopamin
dopaminedetox,detoks dopamin
digitalminimalism,minimalisme digital
declutter,merapikan
cleanmyroom,membersihkan kamar
resetmylife,memulai kembali hidup
newme,versi baru diri sendiri
glowupseason,masa berkembang
hotgirlwalk,jalan santai untuk kesehatan
thatgirl,gaya hidup ideal
softlife,hidup nyaman
cleangirl,gaya sederhana dan rapi
quietluxury,kemewahan yang sederhana
mobwifeaesthetic,gaya istri mafia
darkacademia,estetika akademik gelap
lightacademia,estetika akademik terang
cottagecore,estetika pedesaan
minimalistlife,gaya hidup minimalis
ootdcheck,pemeriksaan pakaian hari ini
dripcheck,pemeriksaan gaya berpakaian
drippy,bergaya keren
firefit,pakaian yang sangat bagus
fitgoals,gaya berpakaian impian
localbrand,merek lokal
supportlocal,dukung produk lokal
banggalokal,bangga produk lokal
madeinindonesia,buatan Indonesia
lokalpride,kebanggaan lokal
indonesiabanget,sangat Indonesia
merahputihselalu,selalu mencintai Indonesia
halfwayto10k,setengah jalan menuju 10.000 entri
